critic,fresh,imdb,publication,quote,review_date,rtid,title
Jeff Strickler,none,0137386,Minneapolis Star Tribune,,2002-11-06,14412,Billy's Hollywood Screen Kiss
,rotten,0137386,Globe and Mail,,2002-04-12,14412,Billy's Hollywood Screen Kiss
Kevin Thomas,none,0137386,Los Angeles Times,,2001-02-14,14412,Billy's Hollywood Screen Kiss
Stephen Holden,none,0137386,New York Times,,2000-01-01,14412,Billy's Hollywood Screen Kiss
Roger Ebert,rotten,0137386,Chicago Sun-Times,,2000-01-01,14412,Billy's Hollywood Screen Kiss
Mick LaSalle,none,0137386,San Francisco Chronicle,,2000-01-01,14412,Billy's Hollywood Screen Kiss
Susan Stark,rotten,0137386,Detroit News,,2000-01-01,14412,Billy's Hollywood Screen Kiss
James Berardinelli,rotten,0137386,ReelViews,,2000-01-01,14412,Billy's Hollywood Screen Kiss
Joe Baltake,none,0137386,Sacramento Bee,,2000-01-01,14412,Billy's Hollywood Screen Kiss
,none,0119007,Time Out,,2006-01-26,12607,Dong gong xi gong
Bob Graham,none,0119007,San Francisco Chronicle,,2001-10-30,12607,Dong gong xi gong
Kevin Thomas,none,0119007,Los Angeles Times,,2001-10-30,12607,Dong gong xi gong
Lawrence Van Gelder,none,0119007,New York Times,,2001-10-30,12607,Dong gong xi gong
Roger Ebert,rotten,0066728,Chicago Sun-Times,,2004-10-23,9587,The Million Dollar Duck
Howard Thompson,rotten,0066811,New York Times,"In this genial but strained and arch frolic, the one real joke is not only ""in"" but it wears thin and even frantic.",2005-05-09,9667,The Barefoot Executive
Variety Staff,rotten,0088814,Variety,"The characters, though cute and cuddly and sweet and mean and ugly and simply awful, don't really have much to do that would remain of interest to any but the youngest minds.",2009-02-05,10554,The Black Cauldron
Dave Kehr,fresh,0088814,Chicago Reader,"It's quite good, though by the impossible standards the film sets for itself it inevitably falls short.",2008-09-05,10554,The Black Cauldron
,rotten,0088814,Time Out,"As usual it is technically excellent, but the charm, characterisation and sheer good humour that made features like Pinocchio and Jungle Book so enjoyable are sadly absent.",2006-02-09,10554,The Black Cauldron
Walter Goodman,rotten,0088814,New York Times,"This is the 25th full-length animated feature from Walt Disney studios, and professionally put together as it is, many of the ingredients may seem programmed to those who have seen some of the others.",2003-05-21,10554,The Black Cauldron
James Berardinelli,fresh,0088814,ReelViews,The backgrounds are as richly textured and detailed as in any other Disney film.,2000-01-01,10554,The Black Cauldron
Roger Ebert,fresh,0088814,Chicago Sun-Times,"By the end of The Black Cauldron I was remembering, with something of a shock of nostalgia, the strength and utter storytelling conviction of the early Disney animators. The Black Cauldron is a return to the tradition.",2000-01-01,10554,The Black Cauldron
,none,0078869,Variety,,2009-03-26,12498,The Black Hole
Richard Schickel,fresh,0078869,TIME Magazine,"It is good to see the Disney craftsmen doing what they do best on such a grand and risky scale. If one has time for only one space opera this season, this is the one to choose.",2009-03-09,12498,The Black Hole
,rotten,0078869,Time Out,"Disney's most ambitious and costly production to date -- about a spaceship crew which encounters a Black Hole and a long-lost madman -- and if looks were everything, you could hardly fault it.",2006-02-09,12498,The Black Hole
Janet Maslin,fresh,0078869,New York Times,"It cost half as much as Star Trek and looks better -- not as lavish, perhaps, but more original. The special effects are fancy, and the design even more so.",2005-05-09,12498,The Black Hole
Roger Ebert,rotten,0078869,Chicago Sun-Times,Takes us all the way to the rim of space only to bog us down in a talky melodrama whipped up out of mad scientists and haunted houses.,2004-10-23,12498,The Black Hole
,none,0062737,Variety,,2009-03-26,9498,Blackbeard's Ghost
,none,0062737,Time Out,,2006-02-09,9498,Blackbeard's Ghost
Howard Thompson,none,0062737,New York Times,,2005-05-09,9498,Blackbeard's Ghost
Roger Ebert,fresh,0062737,Chicago Sun-Times,,2004-10-23,9498,Blackbeard's Ghost
Lisa Schwarzbaum,rotten,0109287,Entertainment Weekly,,2011-09-07,11626,Blank Check
Joe Leydon,none,0109287,Variety,,2009-03-26,11626,Blank Check
,none,0109287,Time Out,,2006-06-24,11626,Blank Check
Janet Maslin,none,0109287,New York Times,,2003-05-20,11626,Blank Check
Richard Harrington,none,0109287,Washington Post,,2000-01-01,11626,Blank Check
,none,0075807,Time Out,,2006-02-09,22475,Candleshoe
Lawrence Van Gelder,none,0075807,New York Times,,2005-05-09,22475,Candleshoe
,none,0077305,Variety,,2008-11-26,9985,The Cat from Outer Space
,none,0077305,Time Out,,2006-06-24,9985,The Cat from Outer Space
Tom Buckley,none,0077305,New York Times,,2005-05-09,9985,The Cat from Outer Space
,none,0097053,Time Out,,2006-02-09,9857,Cheetah
Lawrence Van Gelder,none,0097053,New York Times,,2003-05-20,9857,Cheetah
Richard Harrington,none,0097053,Washington Post,,2002-07-12,9857,Cheetah
Ruth Ford,fresh,0097053,Washington Post,Cheetah brings to focus the concerns of experts and laymen alike.,2000-01-01,9857,Cheetah
,none,0065566,Variety,,2009-03-26,9601,The Computer Wore Tennis Shoes
Roger Greenspun,none,0065566,New York Times,,2005-05-09,9601,The Computer Wore Tennis Shoes
,none,0065566,Chicago Reader,,2004-01-10,9601,The Computer Wore Tennis Shoes
,rotten,0082199,Time Out,An ideological intervention from the Disney machine: the Cold War re-heated for the kiddies.,2006-02-09,12581,Condorman
John Corry,fresh,0082199,New York Times,"It is painless and chaste, and it has a lot of beautiful scenery and beautiful clothes. There are worse things to watch while you eat popcorn.",2004-08-30,12581,Condorman
Leonard Klady,none,0109520,Variety,,2009-03-26,11369,D2: The Mighty Ducks
,none,0109520,Time Out,,2006-01-26,11369,D2: The Mighty Ducks
Caryn James,none,0109520,New York Times,,2003-05-20,11369,D2: The Mighty Ducks
Desson Thomson,none,0109520,Washington Post,,2000-01-01,11369,D2: The Mighty Ducks
,rotten,0109520,Entertainment Weekly,,1994-03-25,11369,D2: The Mighty Ducks
A.H. Weiler,fresh,0052722,New York Times,"[An] overpoweringly charming concoction of standard Gaelic tall stories, fantasy and romance.",2006-03-25,9482,Darby O'Gill and the Little People
,fresh,0052722,Time Out,"For those of a sentimental turn, there is the delight of watching young Connery romancing the ineffably wholesome Janet Munro, a couple of years before things turned nasty for Commander Bond at Crab Key with the somewhat more knowing Ursula Andress.",2006-02-11,9482,Darby O'Gill and the Little People
,rotten,0082263,Time Out,"The script has its moments, especially when Cosby is around as the Devil's aide, but the film finally subsides in a welter of structural flaws and heartwarming sentiment.",2006-01-26,12478,The Devil and Max Devlin
Vincent Canby,fresh,0082263,New York Times,"The performances are attractive though, with one exception, not especially memorable.",2004-08-30,12478,The Devil and Max Devlin
Brian Lowry,none,0106868,Variety,,2009-04-01,11294,A Far Off Place
,none,0106868,Time Out,,2006-01-26,11294,A Far Off Place
Janet Maslin,none,0106868,New York Times,,2003-05-20,11294,A Far Off Place
Roger Ebert,rotten,0106868,Chicago Sun-Times,,2000-01-01,11294,A Far Off Place
Rita Kempley,none,0106868,Washington Post,,2000-01-01,11294,A Far Off Place
James Berardinelli,rotten,0106868,ReelViews,,2000-01-01,11294,A Far Off Place
Desson Thomson,none,0106868,Washington Post,,2000-01-01,11294,A Far Off Place
Gene Siskel,fresh,0091059,Chicago Tribune,"This children's adventure turns out to be, despite its title, less of a Star Wars trip than an entertaining variation on the time-travel adventure Back to the Future.",2013-01-16,10137,Flight of the Navigator
,none,0091059,Variety,,2009-03-26,10137,Flight of the Navigator
,none,0091059,Time Out,,2006-01-26,10137,Flight of the Navigator
Caryn James,none,0091059,New York Times,,2003-05-20,10137,Flight of the Navigator
Pat Graham,none,0091059,Chicago Reader,,2000-01-01,10137,Flight of the Navigator
,none,0061715,New York Times,,2005-05-09,9494,The Gnome-Mobile
Roger Ebert,fresh,0061715,Chicago Sun-Times,,2004-10-23,9494,The Gnome-Mobile
,fresh,0091149,Time Out,"As usual with film noir, however, it is the villain who steals the heart and one is rooting for in the breathtaking showdown high up in the cogs and ratchets of Big Ben.",2006-02-09,9493,The Great Mouse Detective
Nina Darnton,fresh,0091149,New York Times,"Small children may be afraid of some of the bad characters -- the Disney Studio's gift for creating really nasty bad guys means that they are scary -- but they will love the cute, brave mice and cheer their triumphs. Adults will enjoy the wit and style.",2004-08-30,9493,The Great Mouse Detective
Roger Ebert,fresh,0091149,Chicago Sun-Times,It's a lot of fun.,2000-01-01,9493,The Great Mouse Detective
,none,0061749,Variety,,2009-03-26,9928,The Happiest Millionaire
Derek Adams,none,0061749,Time Out,,2006-06-24,9928,The Happiest Millionaire
Bosley Crowther,none,0061749,New York Times,,2005-05-10,9928,The Happiest Millionaire
Roger Ebert,rotten,0061749,Chicago Sun-Times,,2004-10-23,9928,The Happiest Millionaire
,rotten,0080861,Time Out,"It's not surprising that they haven't got around to changing the plot formula, only the scenery.",2006-02-09,9797,Herbie Goes Bananas
Janet Maslin,fresh,0080861,New York Times,"A cheerful, four-cylinder children's movie, though its car jokes aren't good for much mileage.",2004-08-30,9797,Herbie Goes Bananas
,none,0076137,Variety,,2009-03-26,9698,Herbie Goes to Monte Carlo
Derek Adams,none,0076137,Time Out,,2006-06-24,9698,Herbie Goes to Monte Carlo
,none,0076137,New York Times,,2005-05-09,9698,Herbie Goes to Monte Carlo
Dave Kehr,none,0076137,Chicago Reader,,2004-01-10,9698,Herbie Goes to Monte Carlo
Brian Lowry,none,0107120,Variety,,2009-04-01,10010,Hocus Pocus
Derek Adams,none,0107120,Time Out,,2006-02-09,10010,Hocus Pocus
Janet Maslin,none,0107120,New York Times,,2003-05-20,10010,Hocus Pocus
Roger Ebert,rotten,0107120,Chicago Sun-Times,,2000-01-01,10010,Hocus Pocus
Desson Thomson,none,0107120,Washington Post,,2000-01-01,10010,Hocus Pocus
James Berardinelli,rotten,0107120,ReelViews,,2000-01-01,10010,Hocus Pocus
Rita Kempley,none,0107120,Washington Post,,2000-01-01,10010,Hocus Pocus
,rotten,0107120,Entertainment Weekly,,1993-07-16,10010,Hocus Pocus
Joseph McBride,none,0104437,Variety,,2009-03-26,11303,Honey I Blew Up the Kid
Derek Adams,none,0104437,Time Out,,2006-02-09,11303,Honey I Blew Up the Kid
Jonathan Rosenbaum,none,0104437,Chicago Reader,,2005-02-19,11303,Honey I Blew Up the Kid
Stephen Holden,none,0104437,New York Times,,2003-05-20,11303,Honey I Blew Up the Kid
Desson Thomson,none,0104437,Washington Post,,2000-01-01,11303,Honey I Blew Up the Kid
Roger Ebert,rotten,0104437,Chicago Sun-Times,,2000-01-01,11303,Honey I Blew Up the Kid
Hal Hinson,none,0104437,Washington Post,,2000-01-01,11303,Honey I Blew Up the Kid
,fresh,0104437,Entertainment Weekly,,1992-07-17,11303,Honey I Blew Up the Kid
Variety Staff,fresh,0097523,Variety,"[It's] in the best tradition of Disney -- and even better than that, because it is not so juvenile that adults won't be thoroughly entertained.",2008-10-18,10611,"Honey, I Shrunk the Kids"
Derek Adams,fresh,0097523,Time Out,Sterling entertainment...,2006-02-09,10611,"Honey, I Shrunk the Kids"
Caryn James,fresh,0097523,New York Times,"As sweet, straightforward and funny as its title.",2003-05-20,10611,"Honey, I Shrunk the Kids"
Rita Kempley,fresh,0097523,Washington Post,"Though it relies on special effects, this cutie-pie caper never loses sight of the protagonists amid the bigger-than-life Cheerios and 40-foot blades of grass.",2000-01-01,10611,"Honey, I Shrunk the Kids"
Roger Ebert,rotten,0097523,Chicago Sun-Times,"The special effects are all there, nicely in place, and the production values are sound, but the movie is dead in the water.",2000-01-01,10611,"Honey, I Shrunk the Kids"
,none,0056095,Variety,,2009-03-26,9514,In Search of the Castaways
,none,0056095,New York Times,,2005-05-09,9514,In Search of the Castaways
Owen Gleiberman,fresh,0131857,Entertainment Weekly,,2011-09-07,13128,BASEketball
Jonathan Rosenbaum,rotten,0131857,Chicago Reader,"I was bored well before the end, but found the first half hour pretty funny.",2008-03-25,13128,BASEketball
Jeff Giles,rotten,0131857,Newsweek,Jenny McCarthy and Ernest Borgnine -- together at last.,2008-03-25,13128,BASEketball
Bilge Ebiri,rotten,0131857,Entertainment Weekly,"Their incessant, obscene banter is meant to be endearing; their total lack of presence makes it simply annoying.",2008-03-25,13128,BASEketball
Michael O'Sullivan,rotten,0131857,Washington Post,What kind of movie is it where Yasmine Bleeth is the best thing about it?,2008-03-25,13128,BASEketball
Leonard Klady,fresh,0131857,Variety,"The vulgar, obvious humor of Zucker brother David and South Park creators Trey Parker and Matt Stone elicits easy, guilty laughs, yet the material has an underlying innocence that's just shy of good clean fun.",2008-03-25,13128,BASEketball
Rick Groen,rotten,0131857,Globe and Mail,The kind of flick that serves itself up as the object of its own satire.,2002-04-12,13128,BASEketball
Jack Mathews,rotten,0131857,Los Angeles Times,"If you're old enough to see this movie without a parent or guardian and all that sounds encouraging, this review has failed, and failed badly.",2001-02-14,13128,BASEketball
Susan Stark,fresh,0131857,Detroit News,,2000-01-01,13128,BASEketball
Bob Graham,rotten,0131857,San Francisco Chronicle,"The comedy sets up some very big targets -- the commercialization of sport, crass franchise owners, sentimental idolatry of players, exploitation of foreign workers by superstar merchandisers -- and then lobs tiny spitballs at them.",2000-01-01,13128,BASEketball
Stephen Holden,fresh,0131857,New York Times,"[A] funny, gleefully offensive spoof of professional sports.",2000-01-01,13128,BASEketball
Roger Ebert,rotten,0131857,Chicago Sun-Times,It's not very funny and tries to buy laughs with puerile shocks.,2000-01-01,13128,BASEketball
James Berardinelli,rotten,0131857,ReelViews,,2000-01-01,13128,BASEketball
,rotten,0131857,USA Today,,2000-01-01,13128,BASEketball
David Stratton,fresh,0119165,Variety,"A bit late in the day, but nevertheless welcome.",2009-03-26,770675483,Full Tilt Boogie
,none,0119165,Time Out,,2006-01-26,770675483,Full Tilt Boogie
,none,0119165,Los Angeles Times,,2001-02-21,770675483,Full Tilt Boogie
,none,0119165,New York Times,,2000-01-01,770675483,Full Tilt Boogie
,fresh,0119165,Entertainment Weekly,,1800-01-01,770675483,Full Tilt Boogie
Owen Gleiberman,rotten,0120687,Entertainment Weekly,,2011-09-07,15444,The Governess
Ken Eisner,none,0120687,Variety,,2009-03-26,15444,The Governess
Derek Adams,none,0120687,Time Out,,2006-06-24,15444,The Governess
,fresh,0120687,Globe and Mail,,2003-04-25,15444,The Governess
Kevin Thomas,none,0120687,Los Angeles Times,,2001-02-14,15444,The Governess
Roger Ebert,fresh,0120687,Chicago Sun-Times,,2000-01-01,15444,The Governess
Stanley Kauffmann,none,0120687,The New Republic,,2000-01-01,15444,The Governess
Ruthe Stein,fresh,0120687,San Francisco Chronicle,,2000-01-01,15444,The Governess
Joe Baltake,none,0120687,Sacramento Bee,,2000-01-01,15444,The Governess
Susan Stark,rotten,0120687,Detroit News,,2000-01-01,15444,The Governess
Stephen Holden,none,0120687,New York Times,,2000-01-01,15444,The Governess
James Berardinelli,fresh,0120687,ReelViews,,2000-01-01,15444,The Governess
,rotten,0120687,Entertainment Weekly,,1998-07-31,15444,The Governess
David Stratton,none,0124115,Variety,,2009-03-26,341817592,Le septième ciel
Mick LaSalle,none,0124115,San Francisco Chronicle,,2000-01-01,341817592,Le septième ciel
Stephen Holden,none,0124115,New York Times,,2000-01-01,341817592,Le septième ciel
James Berardinelli,fresh,0124115,ReelViews,,2000-01-01,341817592,Le septième ciel
,none,0098213,Variety,,2009-03-26,13336,Roger & Me
Geoff Andrew,none,0098213,Time Out,,2006-02-09,13336,Roger & Me
Vincent Canby,none,0098213,New York Times,,2003-05-20,13336,Roger & Me
Hal Hinson,none,0098213,Washington Post,,2000-01-01,13336,Roger & Me
Desson Thomson,none,0098213,Washington Post,,2000-01-01,13336,Roger & Me
,none,0089853,Variety,,2008-06-16,11023,The Purple Rose of Cairo
Derek Adams,none,0089853,Time Out,,2006-06-24,11023,The Purple Rose of Cairo
Vincent Canby,none,0089853,New York Times,,2003-05-20,11023,The Purple Rose of Cairo
,fresh,0039689,Variety,"Direction by Jacques Tourneur pays close attention to mood development, achieving realistic flavor that is further emphasized by real life settings and topnotch lensing by Nicholas Musuraca.",2007-04-18,18606,Out of the Past
Dave Kehr,fresh,0039689,Chicago Reader,"The most delicate and nuanced of film noirs, graced with a reflective lyricism that almost lifts it out of the genre.",2007-04-18,18606,Out of the Past
,fresh,0039689,Time Out,"All these B movie poets were under contract to RKO in the winter of 1946, and produced the best movie of everyone involved -- once seen, never forgotten.",2006-01-26,18606,Out of the Past
Roger Ebert,fresh,0039689,Chicago Sun-Times,One of the greatest of all film noirs.,2006-01-20,18606,Out of the Past
Bosley Crowther,fresh,0039689,New York Times,It's very snappy and quite intriguingly played by a cast that has been well and smartly directed by Jacques Tourneur.,2003-05-20,18606,Out of the Past
Mick LaSalle,fresh,0039689,San Francisco Chronicle,"Cinematic perfection, a Hollywood classic that's as great and as enjoyable as its reputation has promised.",2000-01-01,18606,Out of the Past
,fresh,0059113,TIME Magazine,"Literate, oldfashioned, soul-filling and thoroughly romantic.",2008-08-24,10116,Doctor Zhivago
Dave Kehr,rotten,0059113,Chicago Reader,"David Lean's 1965 adaptation of Pasternak's romance of the Russian Revolution is intelligent and handsomely mounted, though it doesn't use its length to build to a particularly complex emotional effect.",2007-08-13,10116,Doctor Zhivago
A.D. Murphy,fresh,0059113,Variety,One of the most meticulously designed and executed films.,2007-08-13,10116,Doctor Zhivago
,rotten,0059113,Time Out,"Steiger and Courtenay excepted, all the performances are very uncomfortable.",2006-01-26,10116,Doctor Zhivago
Joe Williams,fresh,0059113,St. Louis Post-Dispatch,,2005-07-07,10116,Doctor Zhivago
Bosley Crowther,rotten,0059113,New York Times,Mr. Bolt has reduced the vast upheaval of the Russian Revolution to the banalities of a doomed romance.,2003-05-20,10116,Doctor Zhivago
Roger Ebert,fresh,0059113,Chicago Sun-Times,"Although its portentous historical drama evaporates once you return to the fresh air, watching it can be seductive.",2000-01-01,10116,Doctor Zhivago
Melissa Anderson,fresh,0083922,Time Out,,2011-11-17,13375,Fanny och Alexander
Lance Goldenberg,fresh,0083922,Village Voice,"A sprawling, ornately constructed entertainment.",2008-12-03,13375,Fanny och Alexander
Logan Hill,fresh,0083922,New York Magazine,"This premiere of the original cut, running at 312 minutes, leaves room for more than a story of one life.",2008-12-01,13375,Fanny och Alexander
David Ansen,none,0083922,Newsweek,,2008-11-24,13375,Fanny och Alexander
Aaron Hillis,fresh,0083922,Village Voice,"Sumptuous, haunting, and unusually tender... a nakedly psychological 'in' to [Bergman's] earliest artistic impulses; nothing else in his oeuvre addresses so directly his childhood escapes into fantasy as the by-product of a harsh Lutheran upbringing.",2008-01-08,13375,Fanny och Alexander
Melissa Anderson,fresh,0083922,Time Out New York,Our young protagonist will be obsessed with death and see ghosts everywhere. Never has the prison of childhood seemed so inescapable.,2008-01-03,13375,Fanny och Alexander
Dave Kehr,fresh,0083922,Chicago Reader,The result is one of Bergman's most haunting and suggestive films.,2007-08-01,13375,Fanny och Alexander
Variety Staff,fresh,0083922,Variety,"A sumptuously produced period piece that is also a rich tapestry of childhood memoirs and moods, fear and fancy, employing all the manners and means of the best of cinematic theatrical from high and low comedy to darkest tragedy.",2007-08-01,13375,Fanny och Alexander
Geoff Andrew,fresh,0083922,Time Out,"It's a marvellously engrossing and thought-provoking film, filled with dazzling dramatic set-pieces and witty, knowing allusions to its creator's artistic conceits and deceits.",2006-01-26,13375,Fanny och Alexander
Douglas Pratt,fresh,0083922,Hollywood Reporter,Utterly enthralling.,2005-01-15,13375,Fanny och Alexander
Damon Smith,fresh,0083922,Boston Globe,"A fitting introduction to the very personal cinema of this master craftsman, not only because it exhibits Bergman's signature themes and stylistic devices, but also because it is one of his most life-affirming films.",2004-11-05,13375,Fanny och Alexander
Roger Ebert,fresh,0083922,Chicago Sun-Times,[Bergman] glides beyond the mere telling of his story into a kind of hypnotic series of events that have the clarity and fascination of dreams. Rarely have I felt so strongly during a movie that my mind had been shifted into a different kind of reality.,2004-10-23,13375,Fanny och Alexander
Mick LaSalle,fresh,0083922,San Francisco Chronicle,"It is very much, and in the best way, an old man's movie, the work of an artist resigned to life's mystery, full of wonder at the passage of time, full of forgiveness for past wrongs, and full of understanding.",2004-08-27,13375,Fanny och Alexander
Michael Atkinson,fresh,0083922,Village Voice,"Bergman's 1982 career summation and the kind of rich, timeless, cautionless magnum opus we can only receive, like benedictions, from artists who've paid their generation's dues of sweat, risk, tears, and honesty.",2004-05-18,13375,Fanny och Alexander
Vincent Canby,fresh,0083922,New York Times,"A big, dark, beautiful, generous family chronicle, which touches on many of the themes from earlier films while introducing something that, in Bergman, might pass for serenity.",2003-05-20,13375,Fanny och Alexander
,none,0090203,Variety,,2009-03-26,10665,The Trip to Bountiful
Geoff Andrew,none,0090203,Time Out,,2006-06-24,10665,The Trip to Bountiful
Vincent Canby,none,0090203,New York Times,,2003-05-20,10665,The Trip to Bountiful
Roger Ebert,fresh,0090203,Chicago Sun-Times,,2000-01-01,10665,The Trip to Bountiful
Dave Kehr,none,0090203,Chicago Reader,,2000-01-01,10665,The Trip to Bountiful
,none,0086423,Variety,,2008-05-22,12643,Tender Mercies
Geoff Andrew,none,0086423,Time Out,,2006-02-09,12643,Tender Mercies
Janet Maslin,none,0086423,New York Times,,2003-05-20,12643,Tender Mercies
Dave Kehr,none,0086423,Chicago Reader,,2000-01-01,12643,Tender Mercies
Geoff Andrew,none,0106273,Time Out,,2006-02-09,10584,And the Band Played On
,none,0096734,Variety,,2009-03-26,10428,The 'burbs
,none,0096734,Time Out,,2006-02-09,10428,The 'burbs
Vincent Canby,none,0096734,New York Times,,2004-08-30,10428,The 'burbs
Roger Ebert,rotten,0096734,Chicago Sun-Times,A long shaggy dog story.,2001-10-24,10428,The 'burbs
Desson Thomson,none,0096734,Washington Post,,2000-01-01,10428,The 'burbs
Hal Hinson,none,0096734,Washington Post,,2000-01-01,10428,The 'burbs
Jonathan Rosenbaum,fresh,0096734,Chicago Reader,,1989-01-01,10428,The 'burbs
,none,0089126,Variety,,2009-03-26,10819,Fandango
,none,0089126,Time Out,,2006-01-26,10819,Fandango
Janet Maslin,none,0089126,New York Times,,2003-05-20,10819,Fandango
,none,0071910,Variety,,2012-02-23,14438,Il portiere di notte
Variety Staff,fresh,0071910,Variety,"A strange, brooding tale.",2008-07-16,14438,Il portiere di notte
Dave Kehr,rotten,0071910,Chicago Reader,"With a little application and imagination I suppose one might read themes of political and philosophical import into this work, but Cavani's style remains stupidly literal and gaga.",2008-07-16,14438,Il portiere di notte
,rotten,0071910,Time Out,"Somewhere along the way, the film's handling of serious themes, and its attempts to examine the Nazi legacy in terms of repression and guilt, both sexual and political, get lost amid all the self-conscious decadence.",2006-01-26,14438,Il portiere di notte
Nora Sayre,rotten,0071910,New York Times,The movie's visual virtues are negated by infinite absurdities -- particularly by the sentimentality with which the director views this luckless couple.,2005-05-09,14438,Il portiere di notte
Roger Ebert,rotten,0071910,Chicago Sun-Times,"The Night Porter is as nasty as it is lubricious, a despicable attempt to titillate us by exploiting memories of persecution and suffering.",2004-10-23,14438,Il portiere di notte
Richard Schickel,fresh,0082736,TIME Magazine,"Few have dared what Brandauer accomplishes: showing us a good actor responding to the same neurotic drive for the center of the stage, the immortalizing role. His is a great performance, nothing less.",2008-07-28,17464,Mephisto
Dave Kehr,rotten,0082736,Chicago Reader,"A disappointingly thin, conventional film.",2008-07-28,17464,Mephisto
Variety Staff,rotten,0082736,Variety,"Hungaro pic shows extraordinary period flair for the Germany of the 1920s and '30s, balanced acting by a multinational cast, and exemplary direction.",2008-07-28,17464,Mephisto
,fresh,0082736,Time Out,"A superbly modulated, fruitfully ambivalent central performance by Brandauer carries the emotional and intellectual weight of the political dilemma.",2006-06-24,17464,Mephisto
Roger Ebert,fresh,0082736,Chicago Sun-Times,The actor is played by Klaus Maria Brandauer in one of the greatest movie performances I've ever seen.,2004-10-23,17464,Mephisto
Janet Maslin,rotten,0082736,New York Times,"Mephisto seems somewhat remote, without all the urgency of which Mr. Szabo has shown himself capable.",2004-08-30,17464,Mephisto
,none,0090756,Variety,,2008-05-28,16022,Blue Velvet
,none,0090756,Minneapolis Star Tribune,,2007-02-10,16022,Blue Velvet
,none,0090756,Time Out,,2006-06-24,16022,Blue Velvet
Janet Maslin,none,0090756,New York Times,,2003-05-20,16022,Blue Velvet
James Berardinelli,fresh,0090756,ReelViews,,2002-12-23,16022,Blue Velvet
Roger Ebert,rotten,0090756,Chicago Sun-Times,It made me feel pity for the actors who worked in it and anger at the director for taking liberties with them.,2000-01-01,16022,Blue Velvet
John Hartl,fresh,0090756,Film.com,Not quite like any other thriller or erotic mystery you've ever seen.,2000-01-01,16022,Blue Velvet
Paul Attanasio,rotten,0090756,Washington Post,"The movie doesn't progress or deepen, it just gets weirder, and to no good end.",2000-01-01,16022,Blue Velvet
Variety Staff,fresh,0089385,Variety,Director Jeremy Paul Kagan extracts an engaging performance from Meredith Salenger as the heroine.,2009-03-26,11095,The Journey of Natty Gann
,fresh,0089385,Time Out,"There's a real sense of period, even if the film does occasionally become over-sentimental.",2006-02-09,11095,The Journey of Natty Gann
Janet Maslin,fresh,0089385,New York Times,"As Wolf, a dog named Jed gives a forthright and believable performance. Miss Salenger, for her part, gives one, too, and she carries the movie nicely.",2004-08-30,11095,The Journey of Natty Gann
Dave Kehr,fresh,0089385,Chicago Reader,It's nice to see a Disney film that follows the rules of the family-film genre as Walt laid them down.,2000-01-01,11095,The Journey of Natty Gann
,rotten,0048280,TIME Magazine,Walt Disney has for so long parlayed gooey sentiment and stark horror into profitable cartoons that most moviegoers are apt to be more surprised than disappointed to discover that the combination somehow does not work this time.,2008-09-01,9395,Lady and the Tramp
Variety Staff,fresh,0048280,Variety,The wider canvas and extra detail work reportedly meant an additional 30% in negative cost. It was a sound investment.,2008-06-02,9395,Lady and the Tramp
Dave Kehr,rotten,0048280,Chicago Reader,"Disney's imagination seems at a low ebb, saddled with a shrunken, excessively naturalistic style in line with the diminished possibilities of postwar animation, and not yet graced by the inspiration that would redeem that style in Sleeping Beauty.",2007-02-09,9395,Lady and the Tramp
Geoff Andrew,fresh,0048280,Time Out,"Happily the cameo lowlife, an excellent manic beaver, the famously villainous Siamese, and classic songs rescue the film from dumb animal sentiment.",2006-06-24,9395,Lady and the Tramp
Bosley Crowther,rotten,0048280,New York Times,"The sentimentality is mighty, and the use of the CinemaScope size does not make for any less awareness of the thickness of the goo.",2006-03-25,9395,Lady and the Tramp
,fresh,0097757,TIME Magazine,You could wish upon a star and not conjure up a more joyous animated movie than this graceful retelling of the Hans Christian Andersen tale.,2008-09-03,9373,The Little Mermaid
Jonathan Rosenbaum,fresh,0097757,Chicago Reader,"Within the apparently necessary aesthetic and ideological limitations (such as making the hero and heroine Americans surrounded by foreign servants a la Pinocchio), the animation manages to be fairly energetic.",2008-09-03,9373,The Little Mermaid
James Berardinelli,fresh,0097757,ReelViews,A fantastic success.,2008-06-10,9373,The Little Mermaid
Variety Staff,fresh,0097757,Variety,May represent Disney's best animated feature since the underrated Sleeping Beauty in 1959.,2008-05-20,9373,The Little Mermaid
Geoff Andrew,fresh,0097757,Time Out,"This return to traditional Disney territory is geared to captivate children while allowing them to maintain their street cred, largely by combining extravagant animated technique with ranging musical styles.",2006-06-24,9373,The Little Mermaid
Janet Maslin,fresh,0097757,New York Times,"A marvel of skillful animation, witty songwriting and smart planning.",2003-06-08,9373,The Little Mermaid
Hal Hinson,rotten,0097757,Washington Post,"Even at its highest points, it cannot claim a place next to even the least of the great Disney classics.",2002-01-22,9373,The Little Mermaid
Roger Ebert,fresh,0097757,Chicago Sun-Times,A movie that's so creative and so much fun it deserves comparison with the best Disney work of the past.,2000-01-01,9373,The Little Mermaid
Derek Adams,rotten,0104868,Time Out,Very lame ice-hockey flick.,2006-06-24,11032,The Mighty Ducks
Janet Maslin,rotten,0104868,New York Times,"The film is remarkably oblivious to the fact that if the team weren't hell-bent on a championship, young moviegoers would be significantly less interested in its adventures.",2003-05-20,11032,The Mighty Ducks
