Hospital Name,Provider Number,State,Measure Name,Number of Discharges,Footnote,Excess Readmission Ratio,Predicted Readmission Rate,Expected Readmission Rate,Number of Readmissions,Start Date,End Date
ST NICHOLAS HOSPITAL,520044,WI,READM-30-PN-HRRP,125,,0.9548,15.8,16.6,17,07/01/2010,06/30/2013
UNIVERSITY HOSPITAL AND MEDICAL CENTER,100224,FL,READM-30-HF-HRRP,347,,0.9548,23.0,24.1,77,07/01/2010,06/30/2013
WEST FLORIDA HOSPITAL,100231,FL,READM-30-HIP-KNEE-HRRP,428,,0.9547,5.6,5.8,23,07/01/2010,06/30/2013
UPMC BEDFORD MEMORIAL,390117,PA,READM-30-HF-HRRP,Not Available,,0.9547,20.9,21.9,,07/01/2010,06/30/2013
SPRINGHILL MEDICAL CENTER,010144,AL,READM-30-PN-HRRP,229,,0.9547,14.7,15.4,31,07/01/2010,06/30/2013
TITUS REGIONAL MEDICAL CENTER,450080,TX,READM-30-PN-HRRP,242,,0.9547,16.4,17.2,37,07/01/2010,06/30/2013
NORTHCREST MEDICAL CENTER,440065,TN,READM-30-COPD-HRRP,272,,0.9546,20.4,21.4,52,07/01/2010,06/30/2013
CITRUS VALLEY MEDICAL CENTER-IC CAMPUS,050382,CA,READM-30-COPD-HRRP,519,,0.9546,20.1,21.1,101,07/01/2010,06/30/2013
GULF BREEZE HOSPITAL,100266,FL,READM-30-PN-HRRP,250,,0.9546,16.3,17.1,38,07/01/2010,06/30/2013
REGIONAL WEST MEDICAL CENTER,280061,NE,READM-30-AMI-HRRP,Not Available,,0.9546,16.6,17.4,,07/01/2010,06/30/2013
AUDRAIN MEDICAL CENTER,260064,MO,READM-30-COPD-HRRP,199,,0.9546,18.8,19.7,34,07/01/2010,06/30/2013
AURORA MEDICAL CENTER,520207,WI,READM-30-AMI-HRRP,116,,0.9546,15.0,15.7,15,07/01/2010,06/30/2013
WEST GEORGIA MEDICAL CENTER,110016,GA,READM-30-PN-HRRP,242,,0.9545,16.0,16.8,36,07/01/2010,06/30/2013
NORTHERN MONTANA HOSPITAL,270032,MT,READM-30-HF-HRRP,72,,0.9545,20.4,21.4,12,07/01/2010,06/30/2013
ST MARY MEDICAL CENTER INC,150034,IN,READM-30-AMI-HRRP,148,,0.9545,15.9,16.6,21,07/01/2010,06/30/2013
UTAH VALLEY REGIONAL MEDICAL CENTER,460001,UT,READM-30-COPD-HRRP,Not Available,,0.9545,18.5,19.4,,07/01/2010,06/30/2013
WEST KENDALL BAPTIST HOSPITAL,100314,FL,READM-30-HF-HRRP,128,,0.9545,23.3,24.4,27,07/01/2010,06/30/2013
PARADISE VALLEY HOSPITAL,030083,AZ,READM-30-COPD-HRRP,108,,0.9545,18.9,19.8,17,07/01/2010,06/30/2013
SUTTER COAST HOSPITAL,050417,CA,READM-30-AMI-HRRP,Not Available,,0.9545,20.6,21.6,,07/01/2010,06/30/2013
HARLINGEN MEDICAL CENTER,450855,TX,READM-30-HF-HRRP,238,,0.9545,21.7,22.8,49,07/01/2010,06/30/2013
MERCY MEDICAL CENTER,050444,CA,READM-30-HF-HRRP,548,,0.9544,23.0,24.0,123,07/01/2010,06/30/2013
"MERCY HOSPITAL ADA, INC",370020,OK,READM-30-PN-HRRP,112,,0.9544,14.9,15.6,14,07/01/2010,06/30/2013
MORRIS HOSPITAL & HEALTHCARE CENTERS,140101,IL,READM-30-PN-HRRP,396,,0.9544,16.4,17.1,62,07/01/2010,06/30/2013
GROVE CITY MEDICAL CENTER,390266,PA,READM-30-COPD-HRRP,99,,0.9544,17.5,18.3,14,07/01/2010,06/30/2013
CHRISTUS SANTA ROSA HOSPITAL,450237,TX,READM-30-COPD-HRRP,729,,0.9544,18.7,19.6,133,07/01/2010,06/30/2013
WINSTON MEDICAL CENTER & SWINGBED,250027,MS,READM-30-COPD-HRRP,Not Available,,0.9544,15.5,16.3,,07/01/2010,06/30/2013
WINDBER HOSPITAL,390112,PA,READM-30-PN-HRRP,Not Available,,0.9544,15.0,15.7,,07/01/2010,06/30/2013
SURGICAL SPECIALTY CENTER AT COORDINATED HEALTH,390321,PA,READM-30-HIP-KNEE-HRRP,283,,0.9544,4.5,4.7,12,07/01/2010,06/30/2013
USC VERDUGO HILLS HOSPITAL,050124,CA,READM-30-HF-HRRP,183,,0.9544,20.6,21.6,35,07/01/2010,06/30/2013
SENTARA ALBEMARLE MEDICAL CENTER,340109,NC,READM-30-PN-HRRP,301,,0.9543,16.9,17.7,48,07/01/2010,06/30/2013
CENTURA HEALTH-PENROSE ST FRANCIS HEALTH SERVICES,060031,CO,READM-30-HIP-KNEE-HRRP,1076,,0.9543,4.5,4.8,48,07/01/2010,06/30/2013
INDIANA UNIVERSITY HEALTH NORTH HOSPITAL,150161,IN,READM-30-COPD-HRRP,117,,0.9543,21.0,22.0,21,07/01/2010,06/30/2013
FLORIDA HOSPITAL WESLEY CHAPEL,100319,FL,READM-30-PN-HRRP,Not Available,,0.9543,15.1,15.9,,07/01/2010,06/30/2013
STORMONT-VAIL HEALTHCARE,170086,KS,READM-30-PN-HRRP,626,,0.9543,15.6,16.4,95,07/01/2010,06/30/2013
ST LUKES HOSPITAL,260179,MO,READM-30-COPD-HRRP,374,,0.9543,19.9,20.9,71,07/01/2010,06/30/2013
GREAT PLAINS REGIONAL MEDICAL CENTER,370019,OK,READM-30-HIP-KNEE-HRRP,Not Available,,0.9542,5.9,6.2,,07/01/2010,06/30/2013
ST JOSEPHS HOSPITAL,520017,WI,READM-30-PN-HRRP,134,,0.9542,17.0,17.9,20,07/01/2010,06/30/2013
ROCKVILLE GENERAL HOSPITAL,070012,CT,READM-30-AMI-HRRP,Not Available,,0.9542,19.9,20.9,,07/01/2010,06/30/2013
ST LUKE'S HOSPITAL BETHLEHEM,390049,PA,READM-30-PN-HRRP,849,,0.9541,16.0,16.8,133,07/01/2010,06/30/2013
PUTNAM HOSPITAL CENTER,330273,NY,READM-30-HIP-KNEE-HRRP,374,,0.9541,5.8,6.1,21,07/01/2010,06/30/2013
BAYSTATE FRANKLIN MEDICAL CENTER,220016,MA,READM-30-HIP-KNEE-HRRP,Not Available,,0.9541,5.1,5.3,,07/01/2010,06/30/2013
ST MARY'S MEDICAL CENTER,260193,MO,READM-30-AMI-HRRP,118,,0.9541,15.7,16.4,16,07/01/2010,06/30/2013
AURORA WEST ALLIS MEDICAL CENTER,520139,WI,READM-30-AMI-HRRP,121,,0.9541,20.3,21.3,22,07/01/2010,06/30/2013
LAREDO MEDICAL CENTER,450029,TX,READM-30-COPD-HRRP,475,,0.9540,18.8,19.7,86,07/01/2010,06/30/2013
PARRISH MEDICAL CENTER,100028,FL,READM-30-HIP-KNEE-HRRP,Not Available,,0.9540,6.4,6.7,,07/01/2010,06/30/2013
ST MARY MEDICAL CENTER,390258,PA,READM-30-AMI-HRRP,566,,0.9540,17.4,18.3,96,07/01/2010,06/30/2013
ST VINCENT'S MEDICAL CENTER,100040,FL,READM-30-HIP-KNEE-HRRP,1541,,0.9540,5.0,5.2,76,07/01/2010,06/30/2013
BETHESDA NORTH,360179,OH,READM-30-AMI-HRRP,369,,0.9540,15.6,16.3,55,07/01/2010,06/30/2013
CHRISTUS HOSPITAL,450034,TX,READM-30-AMI-HRRP,364,,0.9540,16.1,16.8,56,07/01/2010,06/30/2013
CLEAR LAKE REGIONAL MEDICAL CENTER,450617,TX,READM-30-AMI-HRRP,507,,0.9539,18.3,19.2,90,07/01/2010,06/30/2013
SAMPSON REGIONAL MEDICAL CENTER,340024,NC,READM-30-COPD-HRRP,225,,0.9539,20.7,21.7,43,07/01/2010,06/30/2013
METHODIST WEST HOUSTON HOSPITAL,670077,TX,READM-30-COPD-HRRP,89,,0.9539,19.6,20.6,14,07/01/2010,06/30/2013
MARIAN REGIONAL MEDICAL CENTER,050107,CA,READM-30-HF-HRRP,304,,0.9539,21.3,22.3,62,07/01/2010,06/30/2013
TENNOVA HEALTHCARE-JEFFERSON MEMORIAL HOSPITAL,440056,TN,READM-30-HF-HRRP,199,,0.9539,21.0,22.0,39,07/01/2010,06/30/2013
BAPTIST MEM HOSP/GOLDEN TRIANGLE INC,250100,MS,READM-30-PN-HRRP,339,,0.9539,14.7,15.4,47,07/01/2010,06/30/2013
YORK HOSPITAL,200020,ME,READM-30-HF-HRRP,258,,0.9538,19.6,20.6,48,07/01/2010,06/30/2013
VIDANT EDGECOMBE HOSPITAL,340107,NC,READM-30-AMI-HRRP,Not Available,,0.9538,18.4,19.3,,07/01/2010,06/30/2013
HURON MEDICAL CENTER,230118,MI,READM-30-HF-HRRP,99,,0.9538,21.0,22.0,18,07/01/2010,06/30/2013
OWATONNA HOSPITAL,240069,MN,READM-30-PN-HRRP,106,,0.9538,13.9,14.6,12,07/01/2010,06/30/2013
THE HOSPITAL AT WESTLAKE MEDICAL CENTER,670006,TX,READM-30-PN-HRRP,93,,0.9537,14.8,15.5,11,07/01/2010,06/30/2013
UNIVERSITY OF MARYLAND ST JOSEPH MEDICAL CENTER,210063,MD,READM-30-PN-HRRP,Not Available,,0.9537,15.5,16.3,,07/01/2010,06/30/2013
ST PETER'S HOSPITAL,270003,MT,READM-30-HF-HRRP,172,,0.9537,20.2,21.2,32,07/01/2010,06/30/2013
MEDICAL ARTS HOSPITAL,450489,TX,READM-30-PN-HRRP,Not Available,,0.9537,14.3,15.0,,07/01/2010,06/30/2013
GOOD SAMARITAN REGIONAL MEDICAL CENTER,380014,OR,READM-30-AMI-HRRP,226,,0.9537,14.4,15.1,30,07/01/2010,06/30/2013
MERCY HOSPITAL,200008,ME,READM-30-AMI-HRRP,Not Available,,0.9537,18.3,19.2,,07/01/2010,06/30/2013
CAPE REGIONAL MEDICAL CENTER INC,310011,NJ,READM-30-COPD-HRRP,612,,0.9536,20.5,21.5,122,07/01/2010,06/30/2013
SIBLEY MEMORIAL HOSPITAL,090005,DC,READM-30-COPD-HRRP,140,,0.9536,16.7,17.5,20,07/01/2010,06/30/2013
SANFORD MEDICAL CENTER BISMARCK,350015,ND,READM-30-PN-HRRP,307,,0.9536,16.2,17.0,47,07/01/2010,06/30/2013
PROVIDENCE WILLAMETTE FALLS MEDICAL CENTER,380038,OR,READM-30-PN-HRRP,Not Available,,0.9536,13.9,14.6,,07/01/2010,06/30/2013
UNIVERSITY GENERAL HOSPITAL,670019,TX,READM-30-HF-HRRP,Not Available,,0.9536,23.9,25.0,,07/01/2010,06/30/2013
HENRY COUNTY MEDICAL CENTER,440132,TN,READM-30-HF-HRRP,154,,0.9536,20.6,21.6,29,07/01/2010,06/30/2013
PARRISH MEDICAL CENTER,100028,FL,READM-30-AMI-HRRP,135,,0.9535,16.7,17.5,20,07/01/2010,06/30/2013
CUERO COMMUNITY HOSPITAL,450597,TX,READM-30-PN-HRRP,196,,0.9535,16.2,17.0,29,07/01/2010,06/30/2013
SAINT JOSEPH REGIONAL MEDICAL CENTER - PLYMOUTH,150076,IN,READM-30-AMI-HRRP,Not Available,,0.9535,17.2,18.0,,07/01/2010,06/30/2013
BAPTIST HOSPITAL,100093,FL,READM-30-COPD-HRRP,313,,0.9535,20.3,21.3,60,07/01/2010,06/30/2013
WETZEL COUNTY HOSPITAL,510072,WV,READM-30-COPD-HRRP,Not Available,,0.9535,19.0,19.9,,07/01/2010,06/30/2013
"UNIVERSITY OF ARIZONA MEDICAL CTR- SOUTH CAM, THE",030111,AZ,READM-30-COPD-HRRP,Not Available,,0.9535,19.1,20.0,,07/01/2010,06/30/2013
SUBURBAN HOSPITAL,210022,MD,READM-30-HIP-KNEE-HRRP,997,,0.9535,4.8,5.0,47,07/01/2010,06/30/2013
SUTTER AUBURN FAITH HOSPITAL,050498,CA,READM-30-PN-HRRP,223,,0.9535,15.2,15.9,31,07/01/2010,06/30/2013
LAWRENCE MEMORIAL HOSPITAL,170137,KS,READM-30-AMI-HRRP,126,,0.9534,14.7,15.4,16,07/01/2010,06/30/2013
SPECTRUM HEALTH - BUTTERWORTH CAMPUS,230038,MI,READM-30-PN-HRRP,1120,,0.9534,17.4,18.3,192,07/01/2010,06/30/2013
NOVANT HEALTH HUNTERSVILLE MEDICAL CENTER,340183,NC,READM-30-PN-HRRP,186,,0.9534,16.6,17.4,28,07/01/2010,06/30/2013
WILLIAMSON MEDICAL CENTER,440029,TN,READM-30-PN-HRRP,364,,0.9534,15.6,16.4,54,07/01/2010,06/30/2013
BAYLOR MEDICAL CENTER AT WAXAHACHIE,450372,TX,READM-30-COPD-HRRP,217,,0.9534,19.1,20.1,38,07/01/2010,06/30/2013
CARILION FRANKLIN MEMORIAL HOSPITAL,490089,VA,READM-30-COPD-HRRP,102,,0.9534,17.0,17.9,14,07/01/2010,06/30/2013
ST JOSEPH'S HOSPITAL HEALTH CENTER,330140,NY,READM-30-HIP-KNEE-HRRP,1341,,0.9533,4.7,4.9,62,07/01/2010,06/30/2013
RIDGEVIEW MEDICAL CENTER,240056,MN,READM-30-PN-HRRP,137,,0.9533,14.4,15.1,17,07/01/2010,06/30/2013
MILTON S HERSHEY MEDICAL CENTER,390256,PA,READM-30-AMI-HRRP,323,,0.9533,15.6,16.4,48,07/01/2010,06/30/2013
INTEGRIS GROVE HOSPITAL,370113,OK,READM-30-PN-HRRP,271,,0.9532,15.4,16.2,39,07/01/2010,06/30/2013
RUTHERFORD REGIONAL MEDICAL CENTER,340013,NC,READM-30-HIP-KNEE-HRRP,Not Available,,0.9532,4.3,4.5,,07/01/2010,06/30/2013
TALLAHASSEE MEMORIAL HOSPITAL,100135,FL,READM-30-AMI-HRRP,427,,0.9532,15.3,16.1,63,07/01/2010,06/30/2013
CARSON CITY HOSPITAL,230208,MI,READM-30-COPD-HRRP,196,,0.9532,19.1,20.1,34,07/01/2010,06/30/2013
MARTHA JEFFERSON HOSPITAL,490077,VA,READM-30-AMI-HRRP,276,,0.9531,15.8,16.6,41,07/01/2010,06/30/2013
FINLEY HOSPITAL,160117,IA,READM-30-HF-HRRP,191,,0.9531,20.3,21.3,36,07/01/2010,06/30/2013
PASSAVANT AREA HOSPITAL,140058,IL,READM-30-HIP-KNEE-HRRP,330,,0.9531,5.1,5.4,16,07/01/2010,06/30/2013
"MOSES H CONE MEMORIAL HOSPITAL, THE",340091,NC,READM-30-PN-HRRP,1377,,0.9531,16.0,16.8,218,07/01/2010,06/30/2013
"CORPUS CHRISTI MEDICAL CENTER,THE",450788,TX,READM-30-PN-HRRP,511,,0.9531,16.4,17.2,81,07/01/2010,06/30/2013
HILL COUNTRY MEMORIAL HOSPITAL INC,450604,TX,READM-30-AMI-HRRP,Not Available,,0.9531,18.1,19.0,,07/01/2010,06/30/2013
NORTHSIDE HOSPITAL FORSYTH,110005,GA,READM-30-AMI-HRRP,263,,0.9530,17.3,18.2,43,07/01/2010,06/30/2013
BLANCHARD VALLEY HOSPITAL,360095,OH,READM-30-HF-HRRP,245,,0.9530,19.9,20.9,46,07/01/2010,06/30/2013
SOUTH NASSAU COMMUNITIES HOSPITAL,330198,NY,READM-30-HIP-KNEE-HRRP,283,,0.9530,6.0,6.3,16,07/01/2010,06/30/2013
BAPTIST MEMORIAL HOSPITAL,440048,TN,READM-30-COPD-HRRP,825,,0.9530,19.5,20.4,157,07/01/2010,06/30/2013
MERCY HOSPITAL - GRAYLING,230058,MI,READM-30-PN-HRRP,165,,0.9530,16.3,17.1,24,07/01/2010,06/30/2013
CENTRASTATE MEDICAL CENTER,310111,NJ,READM-30-COPD-HRRP,690,,0.9530,20.8,21.8,140,07/01/2010,06/30/2013
FORT MEMORIAL HOSPITAL,520071,WI,READM-30-HIP-KNEE-HRRP,Not Available,,0.9530,4.6,4.8,,07/01/2010,06/30/2013
ST VINCENT'S ST CLAIR,010130,AL,READM-30-HF-HRRP,108,,0.9530,21.1,22.1,20,07/01/2010,06/30/2013
MERCER COUNTY JOINT TOWNSHIP COMMUNITY HOSPITAL,360058,OH,READM-30-HIP-KNEE-HRRP,Not Available,,0.9530,5.2,5.5,,07/01/2010,06/30/2013
MEDICAL CENTER HOSPITAL,450132,TX,READM-30-PN-HRRP,438,,0.9529,15.3,16.0,64,07/01/2010,06/30/2013
MERCY HOSPITAL,170075,KS,READM-30-HF-HRRP,Not Available,,0.9529,14.8,15.5,,07/01/2010,06/30/2013
ST JOSEPH MEDICAL CENTER,500108,WA,READM-30-COPD-HRRP,284,,0.9529,20.3,21.3,54,07/01/2010,06/30/2013
ROCKVILLE GENERAL HOSPITAL,070012,CT,READM-30-HF-HRRP,209,,0.9528,21.0,22.0,41,07/01/2010,06/30/2013
BROOKINGS HEALTH SYSTEM,430008,SD,READM-30-PN-HRRP,160,,0.9528,14.2,14.9,20,07/01/2010,06/30/2013
SILVER CROSS HOSPITAL  AND MEDICAL CENTERS,140213,IL,READM-30-HIP-KNEE-HRRP,443,,0.9528,5.4,5.7,23,07/01/2010,06/30/2013
COVENANT MEDICAL CENTER,450040,TX,READM-30-HIP-KNEE-HRRP,1407,,0.9528,5.2,5.4,72,07/01/2010,06/30/2013
SCRIPPS MEMORIAL HOSPITAL - ENCINITAS,050503,CA,READM-30-PN-HRRP,266,,0.9528,15.4,16.1,38,07/01/2010,06/30/2013
TEXAS SPINE AND JOINT HOSPITAL,450864,TX,READM-30-HIP-KNEE-HRRP,820,,0.9528,4.5,4.7,36,07/01/2010,06/30/2013
WEST FLORIDA HOSPITAL,100231,FL,READM-30-COPD-HRRP,583,,0.9528,20.3,21.4,115,07/01/2010,06/30/2013
AURORA MEDICAL CTR OSHKOSH,520198,WI,READM-30-AMI-HRRP,Not Available,,0.9528,15.5,16.3,,07/01/2010,06/30/2013
TEXAS HEALTH HARRIS METHODIST FORT WORTH,450135,TX,READM-30-HF-HRRP,947,,0.9528,21.2,22.3,198,07/01/2010,06/30/2013
NORTH VISTA HOSPITAL,290005,NV,READM-30-PN-HRRP,107,,0.9528,17.7,18.6,16,07/01/2010,06/30/2013
MERCY HEALTH SYSTEM CORP,520066,WI,READM-30-COPD-HRRP,241,,0.9527,17.6,18.5,39,07/01/2010,06/30/2013
WATERBURY HOSPITAL,070005,CT,READM-30-PN-HRRP,440,,0.9527,17.0,17.9,72,07/01/2010,06/30/2013
CHI HEALTH GOOD SAMARITAN,280009,NE,READM-30-HF-HRRP,349,,0.9527,19.7,20.7,66,07/01/2010,06/30/2013
PALOMAR HEALTH DOWNTOWN CAMPUS,050115,CA,READM-30-PN-HRRP,317,,0.9527,15.1,15.8,45,07/01/2010,06/30/2013
HABERSHAM COUNTY MEDICAL CTR,110041,GA,READM-30-PN-HRRP,247,,0.9527,16.1,16.9,37,07/01/2010,06/30/2013
CENTENNIAL HILLS HOSPITAL MEDICAL CENTER,290054,NV,READM-30-PN-HRRP,166,,0.9527,16.8,17.7,25,07/01/2010,06/30/2013
BROOKINGS HEALTH SYSTEM,430008,SD,READM-30-AMI-HRRP,Not Available,,0.9527,17.4,18.2,,07/01/2010,06/30/2013
MERCY HOSPITAL WASHINGTON,260052,MO,READM-30-AMI-HRRP,96,,0.9527,15.1,15.9,12,07/01/2010,06/30/2013
ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL HAMILTON,310110,NJ,READM-30-COPD-HRRP,763,,0.9526,20.0,21.0,149,07/01/2010,06/30/2013
ERLANGER MEDICAL CENTER,440104,TN,READM-30-PN-HRRP,364,,0.9526,17.0,17.9,59,07/01/2010,06/30/2013
CITIZENS MEDICAL CENTER,450023,TX,READM-30-COPD-HRRP,356,,0.9526,18.7,19.6,63,07/01/2010,06/30/2013
CENTRAL DUPAGE HOSPITAL,140242,IL,READM-30-PN-HRRP,599,,0.9526,15.8,16.6,92,07/01/2010,06/30/2013
HIGHLINE MEDICAL CENTER,500011,WA,READM-30-PN-HRRP,259,,0.9526,15.0,15.7,36,07/01/2010,06/30/2013
GEISINGER WYOMING VALLEY MEDICAL CENTER,390270,PA,READM-30-AMI-HRRP,192,,0.9526,15.4,16.2,27,07/01/2010,06/30/2013
SUTTER SANTA ROSA REGIONAL HOSPITAL,050291,CA,READM-30-COPD-HRRP,106,,0.9526,19.4,20.4,17,07/01/2010,06/30/2013
CENTRAL DUPAGE HOSPITAL,140242,IL,READM-30-COPD-HRRP,641,,0.9526,19.1,20.1,119,07/01/2010,06/30/2013
SAINT LOUISE REGIONAL HOSPITAL,050688,CA,READM-30-HF-HRRP,180,,0.9526,21.0,22.1,35,07/01/2010,06/30/2013
RUSSELL HOSPITAL,010065,AL,READM-30-COPD-HRRP,232,,0.9526,18.3,19.2,39,07/01/2010,06/30/2013
MEADVILLE MEDICAL CENTER,390113,PA,READM-30-COPD-HRRP,317,,0.9526,16.9,17.7,50,07/01/2010,06/30/2013
WAYNE MEDICAL CENTER,440010,TN,READM-30-HF-HRRP,75,,0.9525,22.5,23.6,14,07/01/2010,06/30/2013
SCOTTSDALE HEALTHCARE-THOMPSON PEAK HOSPITAL,030123,AZ,READM-30-HF-HRRP,140,,0.9525,19.8,20.8,25,07/01/2010,06/30/2013
BRIGHAM CITY COMMUNITY HOSPITAL,460017,UT,READM-30-HIP-KNEE-HRRP,Not Available,,0.9525,5.3,5.6,,07/01/2010,06/30/2013
LAKE WALES MEDICAL CENTER,100099,FL,READM-30-PN-HRRP,164,,0.9525,15.1,15.9,22,07/01/2010,06/30/2013
MERCY MEDICAL CENTER,360070,OH,READM-30-COPD-HRRP,397,,0.9525,20.3,21.3,77,07/01/2010,06/30/2013
SYCAMORE MEDICAL CENTER,360239,OH,READM-30-HIP-KNEE-HRRP,Not Available,,0.9525,4.9,5.1,,07/01/2010,06/30/2013
IROQUOIS MEMORIAL HOSPITAL,140167,IL,READM-30-COPD-HRRP,210,,0.9525,20.8,21.8,40,07/01/2010,06/30/2013
DEACONESS HOSPITAL,500044,WA,READM-30-COPD-HRRP,271,,0.9525,19.4,20.4,49,07/01/2010,06/30/2013
SAINT JOSEPH MERCY LIVINGSTON HOSPITAL,230069,MI,READM-30-HF-HRRP,236,,0.9524,21.5,22.6,48,07/01/2010,06/30/2013
MEMORIAL HOSPITAL AT GULFPORT,250019,MS,READM-30-COPD-HRRP,607,,0.9524,21.0,22.1,124,07/01/2010,06/30/2013
INTEGRIS CANADIAN VALLEY  HOSPITAL,370211,OK,READM-30-COPD-HRRP,116,,0.9523,15.9,16.6,15,07/01/2010,06/30/2013
MARY GREELEY MEDICAL CENTER,160030,IA,READM-30-AMI-HRRP,299,,0.9523,16.9,17.8,48,07/01/2010,06/30/2013
PIEDMONT HOSPITAL,110083,GA,READM-30-COPD-HRRP,277,,0.9523,19.0,19.9,49,07/01/2010,06/30/2013
VICTOR VALLEY GLOBAL MEDICAL CENTER,050517,CA,READM-30-PN-HRRP,Not Available,,0.9522,16.8,17.7,,07/01/2010,06/30/2013
SAN DIMAS COMMUNITY HOSPITAL,050588,CA,READM-30-PN-HRRP,Not Available,,0.9522,17.0,17.9,,07/01/2010,06/30/2013
PORTAGE HEALTH,230108,MI,READM-30-PN-HRRP,96,,0.9522,16.6,17.4,13,07/01/2010,06/30/2013
OGDEN REGIONAL MEDICAL CENTER,460005,UT,READM-30-HIP-KNEE-HRRP,Not Available,,0.9522,4.5,4.8,,07/01/2010,06/30/2013
NORTHEASTERN HEALTH SYSTEM,370089,OK,READM-30-COPD-HRRP,144,,0.9522,20.6,21.7,26,07/01/2010,06/30/2013
HOLLAND COMMUNITY HOSPITAL,230072,MI,READM-30-HF-HRRP,183,,0.9522,20.1,21.1,34,07/01/2010,06/30/2013
COMMUNITY HOSPITAL OF ANDERSON AND MADISON COUNTY,150113,IN,READM-30-COPD-HRRP,409,,0.9521,21.0,22.0,82,07/01/2010,06/30/2013
MEDICAL ARTS HOSPITAL,450489,TX,READM-30-COPD-HRRP,Not Available,,0.9521,15.6,16.4,,07/01/2010,06/30/2013
EVERGREEN HOSPITAL MEDICAL CENTER,500124,WA,READM-30-AMI-HRRP,264,,0.9521,16.5,17.3,41,07/01/2010,06/30/2013
WEST BRANCH REGIONAL MEDICAL CENTER,230095,MI,READM-30-HF-HRRP,264,,0.9521,21.9,23.0,55,07/01/2010,06/30/2013
COVENANT MEDICAL CENTER,450040,TX,READM-30-AMI-HRRP,679,,0.9521,15.8,16.6,105,07/01/2010,06/30/2013
LEGACY SALMON CREEK MEDICAL CENTER,500150,WA,READM-30-HF-HRRP,340,,0.9520,20.5,21.6,67,07/01/2010,06/30/2013
LOYOLA GOTTLIEB MEMORIAL HOSPITAL,140008,IL,READM-30-AMI-HRRP,194,,0.9520,16.8,17.7,30,07/01/2010,06/30/2013
GRANVILLE HEALTH SYSTEMS,340127,NC,READM-30-AMI-HRRP,Not Available,,0.9520,18.7,19.7,,07/01/2010,06/30/2013
COVENANT MEDICAL CENTER,160067,IA,READM-30-PN-HRRP,268,,0.9520,16.8,17.6,42,07/01/2010,06/30/2013
GEORGE L MEE MEMORIAL HOSPITAL,050189,CA,READM-30-PN-HRRP,Not Available,,0.9520,14.8,15.5,,07/01/2010,06/30/2013
SPECTRUM HEALTH - BUTTERWORTH CAMPUS,230038,MI,READM-30-COPD-HRRP,747,,0.9520,21.8,22.9,159,07/01/2010,06/30/2013
FIRELANDS REGIONAL MEDICAL CENTER,360025,OH,READM-30-HIP-KNEE-HRRP,355,,0.9520,5.3,5.6,18,07/01/2010,06/30/2013
MERCY REGIONAL MEDICAL CENTER,360172,OH,READM-30-AMI-HRRP,281,,0.9519,16.6,17.4,44,07/01/2010,06/30/2013
BAPTIST MEDICAL CENTER,100088,FL,READM-30-COPD-HRRP,611,,0.9519,20.2,21.3,120,07/01/2010,06/30/2013
MARSHALL MEDICAL CENTER SOUTH,010005,AL,READM-30-AMI-HRRP,Not Available,,0.9519,19.0,19.9,,07/01/2010,06/30/2013
YAMPA VALLEY MEDICAL CENTER,060049,CO,READM-30-COPD-HRRP,Not Available,,0.9519,16.4,17.2,,07/01/2010,06/30/2013
MOREHOUSE GENERAL HOSPITAL,190116,LA,READM-30-COPD-HRRP,Not Available,,0.9519,17.8,18.7,,07/01/2010,06/30/2013
BROWARD HEALTH NORTH,100086,FL,READM-30-COPD-HRRP,208,,0.9519,19.0,20.0,36,07/01/2010,06/30/2013
CITIZENS MEDICAL CENTER,450023,TX,READM-30-HF-HRRP,525,,0.9519,20.9,22.0,107,07/01/2010,06/30/2013
ST VINCENT CARMEL HOSPITAL INC,150157,IN,READM-30-PN-HRRP,Not Available,,0.9519,14.4,15.2,,07/01/2010,06/30/2013
BAPTIST MEM HOSP/GOLDEN TRIANGLE INC,250100,MS,READM-30-AMI-HRRP,145,,0.9519,14.9,15.6,19,07/01/2010,06/30/2013
ST JUDE MEDICAL CENTER,050168,CA,READM-30-AMI-HRRP,289,,0.9518,16.5,17.3,45,07/01/2010,06/30/2013
REGIONAL WEST MEDICAL CENTER,280061,NE,READM-30-COPD-HRRP,168,,0.9518,16.3,17.2,24,07/01/2010,06/30/2013
LOGAN REGIONAL HOSPITAL,460015,UT,READM-30-HF-HRRP,82,,0.9518,19.3,20.2,13,07/01/2010,06/30/2013
CENTRASTATE MEDICAL CENTER,310111,NJ,READM-30-PN-HRRP,760,,0.9518,17.5,18.4,130,07/01/2010,06/30/2013
DESERT REGIONAL MEDICAL CENTER,050243,CA,READM-30-HIP-KNEE-HRRP,238,,0.9518,5.0,5.2,11,07/01/2010,06/30/2013
MOUNT SINAI MEDICAL CENTER,100034,FL,READM-30-HIP-KNEE-HRRP,202,,0.9518,5.9,6.2,11,07/01/2010,06/30/2013
HEALTH CENTRAL,100030,FL,READM-30-AMI-HRRP,123,,0.9518,18.5,19.4,20,07/01/2010,06/30/2013
COMANCHE COUNTY MEMORIAL HOSPITAL,370056,OK,READM-30-PN-HRRP,309,,0.9518,16.8,17.7,49,07/01/2010,06/30/2013
